states,actions,rewards,dones,next_states,log_probs
"[0.5655324  0.64680046 0.58707786 0.3440264  0.5531111  0.56747127
 0.6460662  0.5873118  0.34469292 0.5531111  0.5692942  0.64536375
 0.5876234  0.34525415 0.5531111  0.5709854  0.64459175 0.58795005
 0.34558657 0.5531111  0.5725291  0.64384377 0.58823115 0.34574607
 0.5531111 ]","tf.Tensor([[0.32769963]], shape=(1, 1), dtype=float32)",-0.6154368132352829,False,"[0.56747127 0.6460662  0.5873118  0.34469292 0.5531111  0.5692942
 0.64536375 0.5876234  0.34525415 0.5531111  0.5709854  0.64459175
 0.58795005 0.34558657 0.5531111  0.5725291  0.64384377 0.58823115
 0.34574607 0.5531111  0.57471126 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.6564874]], shape=(1, 1), dtype=float32)"
"[0.56747127 0.6460662  0.5873118  0.34469292 0.5531111  0.5692942
 0.64536375 0.5876234  0.34525415 0.5531111  0.5709854  0.64459175
 0.58795005 0.34558657 0.5531111  0.5725291  0.64384377 0.58823115
 0.34574607 0.5531111  0.57471126 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.]], shape=(1, 1), dtype=float32)",-0.606382355093956,False,"[0.5692942  0.64536375 0.5876234  0.34525415 0.5531111  0.5709854
 0.64459175 0.58795005 0.34558657 0.5531111  0.5725291  0.64384377
 0.58823115 0.34574607 0.5531111  0.57471126 0.         0.
 0.         0.4024934  0.5736124  0.         0.         0.
 0.4024934 ]","tf.Tensor([[16.71877]], shape=(1, 1), dtype=float32)"
"[0.5692942  0.64536375 0.5876234  0.34525415 0.5531111  0.5709854
 0.64459175 0.58795005 0.34558657 0.5531111  0.5725291  0.64384377
 0.58823115 0.34574607 0.5531111  0.57471126 0.         0.
 0.         0.4024934  0.5736124  0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.41991976]], shape=(1, 1), dtype=float32)",-0.6132024198770523,False,"[0.5709854  0.64459175 0.58795005 0.34558657 0.5531111  0.5725291
 0.64384377 0.58823115 0.34574607 0.5531111  0.57471126 0.
 0.         0.         0.4024934  0.5736124  0.         0.
 0.         0.4024934  0.57121044 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.5288201]], shape=(1, 1), dtype=float32)"
"[0.5709854  0.64459175 0.58795005 0.34558657 0.5531111  0.5725291
 0.64384377 0.58823115 0.34574607 0.5531111  0.57471126 0.
 0.         0.         0.4024934  0.5736124  0.         0.
 0.         0.4024934  0.57121044 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.]], shape=(1, 1), dtype=float32)",-0.602960792183876,False,"[0.5725291  0.64384377 0.58823115 0.34574607 0.5531111  0.57471126
 0.         0.         0.         0.4024934  0.5736124  0.
 0.         0.         0.4024934  0.57121044 0.         0.
 0.         0.4024934  0.5609688  0.         0.         0.
 0.4024934 ]","tf.Tensor([[17.323652]], shape=(1, 1), dtype=float32)"
"[0.5725291  0.64384377 0.58823115 0.34574607 0.5531111  0.57471126
 0.         0.         0.         0.4024934  0.5736124  0.
 0.         0.         0.4024934  0.57121044 0.         0.
 0.         0.4024934  0.5609688  0.         0.         0.
 0.4024934 ]","tf.Tensor([[1.]], shape=(1, 1), dtype=float32)",-0.6549508333206177,False,"[0.57471126 0.         0.         0.         0.4024934  0.5736124
 0.         0.         0.         0.4024934  0.57121044 0.
 0.         0.         0.4024934  0.5609688  0.         0.
 0.         0.4024934  0.55495083 0.         0.         0.
 0.4024934 ]","tf.Tensor([[17.29152]], shape=(1, 1), dtype=float32)"
"[0.57471126 0.         0.         0.         0.4024934  0.5736124
 0.         0.         0.         0.4024934  0.57121044 0.
 0.         0.         0.4024934  0.5609688  0.         0.
 0.         0.4024934  0.55495083 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.96292114]], shape=(1, 1), dtype=float32)",-0.5456699132919312,False,"[0.5736124  0.         0.         0.         0.4024934  0.57121044
 0.         0.         0.         0.4024934  0.5609688  0.
 0.         0.         0.4024934  0.55495083 0.         0.
 0.         0.4024934  0.541962   0.         0.         0.
 0.4024934 ]","tf.Tensor([[2.340382]], shape=(1, 1), dtype=float32)"
"[0.5736124  0.         0.         0.         0.4024934  0.57121044
 0.         0.         0.         0.4024934  0.5609688  0.
 0.         0.         0.4024934  0.55495083 0.         0.
 0.         0.4024934  0.541962   0.         0.         0.
 0.4024934 ]","tf.Tensor([[1.]], shape=(1, 1), dtype=float32)",-0.5195279717445374,False,"[0.57121044 0.         0.         0.         0.4024934  0.5609688
 0.         0.         0.         0.4024934  0.55495083 0.
 0.         0.         0.4024934  0.541962   0.         0.
 0.         0.4024934  0.5158201  0.         0.         0.
 0.4024934 ]","tf.Tensor([[16.430752]], shape=(1, 1), dtype=float32)"
"[0.57121044 0.         0.         0.         0.4024934  0.5609688
 0.         0.         0.         0.4024934  0.55495083 0.
 0.         0.         0.4024934  0.541962   0.         0.
 0.         0.4024934  0.5158201  0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.34654796]], shape=(1, 1), dtype=float32)",-0.5474958777427673,False,"[0.5609688  0.         0.         0.         0.4024934  0.55495083
 0.         0.         0.         0.4024934  0.541962   0.
 0.         0.         0.4024934  0.5158201  0.         0.
 0.         0.4024934  0.48215067 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.6219481]], shape=(1, 1), dtype=float32)"
"[0.5609688  0.         0.         0.         0.4024934  0.55495083
 0.         0.         0.         0.4024934  0.541962   0.
 0.         0.         0.4024934  0.5158201  0.         0.
 0.         0.4024934  0.48215067 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.37365282]], shape=(1, 1), dtype=float32)",-0.47047495245933535,False,"[0.55495083 0.         0.         0.         0.4024934  0.541962
 0.         0.         0.         0.4024934  0.5158201  0.
 0.         0.         0.4024934  0.48215067 0.         0.
 0.         0.4024934  0.46776447 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.5953274]], shape=(1, 1), dtype=float32)"
"[0.55495083 0.         0.         0.         0.4024934  0.541962
 0.         0.         0.         0.4024934  0.5158201  0.
 0.         0.         0.4024934  0.48215067 0.         0.
 0.         0.4024934  0.46776447 0.         0.         0.
 0.4024934 ]","tf.Tensor([[0.]], shape=(1, 1), dtype=float32)",-0.5056213676929474,False,"[0.541962   0.         0.         0.         0.4024934  0.5158201
 0.         0.         0.         0.4024934  0.48215067 0.
 0.         0.         0.4024934  0.46776447 0.         0.
 0.         0.4024934  0.4682561  0.         0.         0.
 0.4024934 ]","tf.Tensor([[17.413036]], shape=(1, 1), dtype=float32)"
